market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
GREYSPT 115 KV  GRE-HARM,GREYSPT_115 KV_GRE-HARM:ACTUAL,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM),high,medium,0.8417,0.6008,False,False
MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG,66 E FRN_345 KV_6608:L765.Dumont-Wilton Center.11215,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,high,low,0.8667,0.4357,False,True
BRUNNERI 230 KV BRUNNERI-YORKANA 1055,BRUNNERI_230 KV_BRU-YOR:500/230.Conastone.500-4,BRUNNERI 230KV - YORKANA 230KV (BRUNNERI 230 KV BRU-YOR),high,medium,0.8769,0.5056,True,True
PARADISE-BR TAP 161KV L/O WILSON BR UNIT 1,BR_TAP_161 KV_BRT-PAR:Wilson Unit 1,PARADIS 161KV - BR_TAP 161KV (BR_TAP 161 KV BRT-PAR),medium,medium,0.6308,0.4577,False,False
RISING BONDVILL 138 KV L/O RISING SIDNEY 345 KV,RISING_138 KV_1642:Sidney-Rising 345 kV,RISING 138KV - BONDVIL 138KV (RISING 138 KV 1642),medium,medium,0.5873,0.4833,True,False
MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV,WEEDMAN3_138 KV_1592 5:Clinton-Oreana-GooseCrk 345 kV,Brokaw-N Leroy 138 kV l/o Clinton-Oreana-GooseCrk 345 kV,medium,low,0.5827,0.45,True,True
TRENTON2138 KV  TRE-COL1,TRENTON2_138 KV_TRE-COL1:ACTUAL,TRENTON2138 KV  TRE-HUT1,medium,low,0.55,0.3257,True,True
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:500/230.WaughChapel.500-1,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC),high,medium,0.8417,0.6036,True,True
EASTON-EMUNI 6772 A 69 KV,EASTON 69-EASTON 138,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU),medium,low,0.4957,0.3667,True,True
16901   138 KV  16901 Z1,6606_138 KV_6606 Z1:ACTUAL,6605    138 KV  6605 Z1,high,medium,0.7,0.5333,True,True
BRAMBLET230 KV  BRA-EVRG,BRAMBLET_230 KV_BRA-EVRG:L230.Brambleton-PolandRoad.2183,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG),high,low,0.7045,0.4008,False,True
74 KEWAN B1Z5 DIS              138 KV,74 KEWAN_138 KV_L9430:ACTUAL,74 KEWAN B1Z5 DIS              138 KV,high,low,0.975,0.3167,False,True
HANOVER 69 KV   HAN-PAR,HANOVER_69 KV_HAN-PAR:ACTUAL,HANOVER 69KV - PARRISPL 69KV (HANOVER 69 KV HAN-PAR),medium,medium,0.5977,0.6286,True,False
GRACETON 230 KV GRACETON-SAFEHARB 2303,GRACETON_230 KV_GRA-MANO:ACTUAL,GRACETON230 KV  GRA-SAF,high,low,0.7686,0.3722,True,True
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL),high,medium,0.8417,0.6008,False,False
VIENNA 230 KV VIENNA AT20 TRANSFORMER,PINEYGRO_230 KV_AT20:230/138.Vienna.AT20,VIENNA  230 KV  AT20,high,medium,0.7738,0.4833,True,True
TURKEY HILL-MASCOUTA 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,high,low,0.9,0.4,False,True
DICKERSH 230 KV DICKERSH-DICKERSO 23103,DICKERSH_230 KV_DIC-DIC3:ACTUAL,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC3),high,medium,0.8727,0.4833,False,True
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:ACTUAL,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),high,medium,0.8277,0.4863,True,True
CEDARGRO 230 KV CEDARGRO-JACK PS L-2238,CEDARGRO_230 KV_CED-JAC:ACTUAL,CEDARGRO 230KV - JACK PS 230KV (CEDARGRO 230 KV CED-JAC),medium,medium,0.6524,0.49,True,True
YORKANA B43 CB  230 KV,YORKANA_230 KV_3 BANK:ACTUAL,YORKANA 230KV - YORKANA 115KV (YORKANA 230 KV BANK 1),medium,low,0.6,0.3167,True,True
LINCOLN 115 KV LINCOLN-STRABAN 998,LINCOLN_115 KV_LIN-STR:ACTUAL,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR),high,medium,0.9214,0.545,True,False
