market_constraint,dayzer_constraint,pano_constraint
116 GOOD345 KV  11622,,116 GOOD345 KV  11620
COOK-OLIVE 345 KV L/O COOK-DUMONT 765 KV,,Dumont T1 765/345 kV l/o Cook-Dumont 765 kV
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
HENRY-NEW CASTLE 138 L/O NOBLESVILLE-SANDERSON,NEWCASOE_138 KV_NEW-HOY1:ACTUAL,08HENCO 138KV - NEWCAST2 138KV (08HENCO 138 KV 08H-NEW)
JACK ME 115 KV JACK ME-MENGES 994-1,,JACK ME 115KV - MENGES 115KV (JACK ME 115 KV JAC-MEN)
EBERSOLE138 KV  EBE-FOS2,,EBERSOLE138 KV  EBE-NFI
KENT 69 KV KENT-VAUGHN 6784-1,KENT_69 KV_KEN-VAU:L230.Steele-Vienna.23085 & 230/138.Vienna.AT20,
HOYTDAL2345 KV  1,,MASURY 138KV - SALTSPRG 138KV (SALTSPRG 138 KV SAL-MAS1)
BULLRUN 230 KV  BUL-CLIF,,CLIFTON 230KV - BULLRUN 230KV (BULLRUN 230 KV BUL-CLIF)
FORT ZUMWALD TAP - HUSTER 138 KV L/O SIOUX - BELLEAU 345 KV,08LAFYTE_138 KV_08L-LAF2:Westwood-08NW_Tap-WLafyett 138,FTZUM T3 138KV - HUSTER 3 138KV (FTZUM T3 138 KV 30604307)
BIGGRAVE_138KVBIG-GEO1_1_LN,,GEORGEWA 138KV - BIGGRAVE 138KV (BIGGRAVE 138 KV BIG-GEO1)
WESTWOOD 345/138 BK1 L/O WESTWOOD 345/138 BK2,,REYNOLD2 138KV - MAGNTATN 138KV (MAGNTATN 138 KV MAG-REY)
BEAVER  138 KV  BEA-NAS1,BEAVER_138 KV_BEA-NAS1:345/138.Beaver.T2,HAYES_FE 345KV - BEAVER 345KV (HAYES_FE 345 KV BEA-HAY)
EDINBUR4 138 KV EDINBUR4 TX3 XFORMER,,EDINBUR4 138KV - EDINBUR4 115KV (EDINBUR4 138 KV TX4)
37_NATOM_138KV11412_1_LN,,
PRESTON_69KVPRE-TAN_1_LN,,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN)
JACKSNVL138 KV  PAR-JACK,JACKSNVL_138 KV_PAR-JACK:138/69.Renaker.T1813,
PRESTON 69 KV PRESTON-TODD 6716-6,,TODD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TOD)
PRGEORGE230 KV  TX1,,
NSEAFORD138 KV NSE-SHA,,KRATZ 69KV - BRIDGEVI 69KV (BRIDGEVI 69 KV BRI-KRAT)
VIENNA 230 KV VIENNA AT20 TRANSFORMER,,VIENNA 230KV - VIENNA 138KV (VIENNA 230 KV AT20)
OLIVE   345 KV  OLI-OLIV,OLIVE_345 KV_OLI-OLIV:ACTUAL,BOSSERMN138 KV  BOS-OLI
JUNIATA 230 KV JUNIATA-LEWISTOW LJ 2015,,LEWISTOW 115KV - REEDSSS 115KV (LEWISTOW 115 KV LEW-REE)
KINGSCRK 69 KV KINGSCRK-WOVERDPL 6725-1,KINGSCRK_138 KV_KIN-LOR:L138.KingsCreek-Costen-Pocomoke.13714,
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,,SIEGFRIE 230KV - SIEGFRIE 138KV (SIEGFRIE 230 KV 4)
PAYNE   69 KV   XF1,PAYNE_69 KV_XF1:ACTUAL,DOUBLETO 138KV - DOUBLETO 34.5KV (DOUBLETO 138 KV XF1)
DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1)
BRAMBLET230 KV  BRA-EVRG,,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG)
SAXTON-THREESPR 2K 1062 A 115 KV,,SAXTON 115KV - THREESPR 115KV (SAXTON 115 KV SAX-THR)
115 BEDF138 KV  5103 7,,08GRDALE 138KV - MIAMIFOR 138KV (MIAMIFOR 138 KV MIA-08G1)
GOUDEY 115 KV GOUDEY-LAURLAKE115 KVTIE,,GOUDEY  115 KV  GOU-LAU
STATELINE TR82 XF 345/138KV L/O BURNHAM-CALUMET-TAYLOR 345KV,,
LABADIE - GRAY - SUMMIT 2 345 KV L/O LABADIE - WILDWOOD -MASON 345 KV,LACKAWAN_500 KV_3:L230.Lackawanna-Summit.1,
GILBERT 115 KV  GIL-GLEN,,GILBERT 115 KV  GIL-GLE
SKIMMER 115 KV SKIMMER 2 XFORMER,ALTAVSTA_138 KV_TX3:L115.Altavista-Skimmer.30,SKIMMER 115KV - SKIMMER 69KV (SKIMMER 115 KV 2)
CARL PN-ROXBURY KRG 1049 B 115 KV,,ROXBURY 115KV - CARL PN 115KV (CARL PN 115 KV CAR-ROX)
ELECTRIC JUNCTION TR81 345/138KV L/O ELECTRIC JCT 345 KV-LOMBARD 11124 345KV,,
MONROE - BROWNSTONE1 345 L/O MONROE - WAYNE 345,,MONROE 345KV - BROWNSTO 345KV (BROWNSTO 345 KV BRO-MON1)
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:ACTUAL,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5)
CONCRDDP69 KV CON-LAU,,DUPSEAFD 69KV - LAURELDP 69KV (DUPSEAFD 69 KV DUP-LAU)
CARL PN-ROXBURY KRG 1049 B 115 KV,,ROXBURY 115KV - CARL PN 115KV (CARL PN 115 KV CAR-ROX)
103 LISL138 KV  10319 1,,
3ROCKY 115 KV 3ROCKY -BATTLEBO 123A,3ROCKY_115 KV_123A:L230.Edgecomb-Everetts.229,
63 SAWYE138 KV  1324 1,,
116 GOOD-900 ELWO 11622    B  345 KV,116 GOOD 345-900 ELWO 345,900 ELWO 345KV - 116 GOOD 345KV (116 GOOD 345 KV 11622)
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:ACTUAL,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5)
HAVILAND69 KV   HAV-LAT,HAVILAND_138 KV_HAV-TIM:765/345.Marysville.T2,
NAMPTON 138 KV  NHA-SIE2,NAMPTON_138 KV_NHA-SIE2:ACTUAL,MARTINSC230 KV  MAR-SIE2
MEHOOPAN115 KV  MEH-NME1,,NMESHOPP 230KV - NMESHOPP 115KV (NMESHOPP 230 KV 4 TX)
HILLSDAL 230 KV HILLSDAL-NEWMILFR V-2222,,NEWMILFR 230KV - HILLSDAL 230KV (HILLSDAL 230 KV HIL-NEW)
BENSONDP115 KV  BEN-COOL,BENTMOUN_138 KV_BEN-CLE1:345/138.CLoverdale.T3,
HARWGATE 115 KV HARWGATE-LOCKS 100J,,LOCKS 115KV - HARWGATE 115KV (HARWGATE 115 KV 100J)
CANTONCE 138 KV CANTONCE-CLOVEROE,,CANTONCE 138KV - CLOVEROE 138KV (CANTONCE 138 KV CAN-CLO1)
HIGHLAOE138 KV  HIG-COM1,,HIGHLAOE 138KV - COMERC 138KV (HIGHLAOE 138 KV HIG-COM1)
0906 138 KV 0906 LINE 38L0906 2,,
CHALKPT 230 KV  T2,CHALKPT_230 KV_T2:ACTUAL,
FARMERSV-RIDG PN RV 1048 A 115 KV,,
AQUAHAR 230 KV  2119,,AQUAHAR 230 KV  2119
OCRAN   115 KV  65A1,OCRAN_115 KV_65A1:L230.Fredericksburg-Birchwood.2083,WHITESTN 115KV - OCRAN 115KV (OCRAN 115 KV 65A1)
HAYES_FE138 KV  AVE-HAYE,,HAYES_FE 138KV - AVERY 138KV (HAYES_FE 138 KV AVE-HAYE)
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
CHARLERO138 KV  CHA-YUK,,CHARLERO 138KV - DRYRUN 138KV (CHARLERO 138 KV CHA-DRY)
PLUM    138 KV  PLU-UNI,PLUM_138 KV_PLU-UNI:ACTUAL,
GRANDPT 138 KV GRANDPT-GUILFORD,,GUILFORD 138KV - GRANDPT 138KV (GRANDPT 138 KV GRA-GUI)
LENOX 115 KV LENOX-NMESHOPP NML 1090,,
KYGERCRE345 KV  KYG-DOE3,,TRANSFER INTERFACE: AEP-DOM
LAUREL 69 KV LAUREL-WOODSTOW 0740,,WOODSTOW 69KV - LAUREL 69KV (LAUREL 69 KV LAU-WOO)
MADDOXCR345 KV  ELI-MAD,,RPMONE 345KV - MADDOXCR 345KV (MADDOXCR 345 KV MAD-RPM)
15002 138 KV 15002 B,,
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2)
DUNEACRE - MICHIGAN CITY 13843 138 KV L/O BURR OAK - HINSHAW 345 KV 34540,,
FEAGANSM 138 KV FEAGANSM-STONEWAL STM1,,STONEWAL 138KV - FEAGANSM 138KV (FEAGANSM 138 KV FEA-STO)
EPALMERT_230KVEPA-HAR_1_LN,,HARWOOD 230KV - EPALMERT 230KV (EPALMERT 230 KV EPA-HAR)
NEWLONDON-KOKOMOHP 230 L/O NEWLONDON-WEBSTER 230,,NEWLONDN 230KV - KOKOMOPS 230KV (KOKOMOPS 230 KV KOK-NEW1)
OX4 500 KV OX4 TX2 XFORMER,,OX4 500KV - OX4 230KV (OX4 500 KV TX2)
FIVEFORK 115 KV FIVEFORK-ROCKRIDG 110511,,FIVEFORK-ROCKRIDG 110511    A  115 KV
NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,,MAPLNIPS 138KV - NEWCARLI 138KV (NEWCARLI 138 KV NEW-MAP2)
BRANDONS 230 KV BRANDONS-WAUGHCHA 2342,,WAUGHCHA 230KV - BRANDONS 230KV (BRANDONS 230 KV BRA-WAU3)
HEBRON 69 KV HEBRON-MARDELA 6708-2,,MARDELA 69KV - HEBRON 69KV (HEBRON 69 KV HEB-MAR)
N_LND10469 KV   NLN-NLON,N_LND104_69 KV_NLN-NLON:ACTUAL,HOMERCIT N.AUTO-S XFORMER   L  1 KV
11 FISK 138 KV  TR75R 12,,11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR75R 12)
JOHNSONM-OTTER B 138 KV,,OTTER 138KV - JOHNSONM 138KV (JOHNSONM 138 KV JOH-OTT1)
PHILIPSB 115 KV PHILIPSBG-SHAWVILL SF 1079,,
SALTSPRG 138 KV SALTSPRG-MASURY,,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1)
SIEGFRIE 230 KV SIEGFRIE 5 XFORMER,,
EDISON2 138 KV  EDI-OLI1,EDISON2_138 KV_EDI-OLI1:345/138.Twinbranch.6 & 7,
LOUDOUN4 500 KV LOUDOUN4 TX1 XFORMER,,LOUDOUN4 500KV - LOUDOUN4 230KV (LOUDOUN4 500 KV TX1)
POWERTON-TOWERLINE 138 KV L/O ROCK FALL-SCHAUFF ROAD 138 KV,,3 POWERT 138KV - TWRL 138KV (3 POWERT 138 KV POW-TWRL)
EDISON2 138 KV  EDI-GRA,,EDISON2 138 KV  EDI-GRA
MIAMIFOR 345 KV MIAMIFOR 10 XFORMER,,
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,,SEWARD 230KV - JOHNSTOW 230KV (JOHNSTOW 230 KV JOH-SEW)
PENNTECH_T1_115115_13_XF,AMOS_765 KV_6:AMOS 765-345KV XF #5,
TANNERSC-DEARBORN1 TIE A 345 KV,,TANNERSC 345KV - DEARBORN 345KV (TANNERSC 345 KV TAN-DEA1)
EAGLEVAL115 KV  EAG-PHI,EAGLEPT_230 KV_EAG-GLO:ACTUAL,
CHALKPT 500 KV CHALKPT 500-5T XFORMER,,CHALKPT 500KV - CHALKPT 230KV (CHALKPT 500 KV 500-5T)
BRIERY 230 KV BRIERY -CLOVER 235A1,,BRIERY  230 KV  235A1
02LYONS_138KV02L-SILI_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),
HINCHMAN 230 KV HINCHMAN-JACK PS M-2239,,
EDELPHOS69 KV   EDE-NDE,,GOMER 138KV - ESIDELIM 138KV (ESIDELIM 138 KV ESI-GOME)
MONTGOMERY-LABADIE 4 345 KV L/O BELLEAU-MONTGOMERY 345 KV,,MONTGMR3 345KV - LABADIE3 345KV (LABADIE3 345 KV 30886312)
MAHANSLA 138 KV MAHANS LANE-TIDD,,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID)
COLUMBIA 138 KV COLUMBIA-NORTHEA2,,NORTHEA2 138KV - COLUMBIA 138KV (COLUMBIA 138 KV COL-NOR1)
MAPLEOE_138KVMAP-ZEL_1_LN,MAPLEOE_138 KV_MAP-JAC1:L138.Butler-ShanonManor-Krendale (APS),MAPLEOE 138KV - ZELIENOP 138KV (MAPLEOE 138 KV MAP-ZEL)
CANTONCE345 KV  TR1,,CANTONCE 345KV - CANTONCE 138KV (CANTONCE 345 KV TR1)
SHEFFIELD - CALUMET 138KV L/O WILTON CENTER - DUMONT 765 KV,,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV
BURMA_115KVBUR-PIN_1_LN,,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN)
HAYES_FE138 KV  AVE-HAYE,,
112 WILT 765 KV 112 WILTON 65TR93 CT,,23 COLLI 1KV - 23 COLLI 765KV (23 COLLI 765 KV TR92CT-P)
CHALKPT 500 KV CHALKPT 500-6T XFORMER,BELLSMIL_230 KV_121-6T:Dickerson-Quince Orchard (23035) 230 kV line,CHALKPT 500KV - CHALKPT 230KV (CHALKPT 500 KV 500-6T)
ASHBURN 230 KV  227A,,ASHBURN 230 KV  227A
KEYSTONE 230 KV KEYSTONE-SHELOCTA KHC 2014,,KEYSTONE 500KV - CABOT 500KV (CABOT 500 KV CAB-KEY)
FRACKVIL 230 KV FRACKVIL-SIEGFRIE,,FRACKVIL 230KV - SIEGFRIE 230KV (FRACKVIL 230 KV FRA-SIE)
JACK ME 115 KV JACK ME-MENGES 994-1,,JACK ME 115KV - MENGES 115KV (JACK ME 115 KV JAC-MEN)
FALLS 138 KV FALLS -STEELTAP FAL-STE,FALLS_138 KV_FAL-STE:L500.NewFreedom-EastWindsor.5038,FALLS 138KV - STEELTAP 138KV (FALLS 138 KV FAL-STE)
BAGLEY 230 KV BAGLEY -RAPHAERD BAG-RAP,,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP)
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL)
GLASGOW 138 KV  GLA-KEE,GLASGOW_138 KV_GLA-KEE:ACTUAL,KEENEY 138KV - GLASGOW 138KV (GLASGOW 138 KV GLA-KEE)
KOKOMO-TIPTON 230 L/O NUCOR-CAYUGA 345,,08SCRK_M 345KV - DRESSER 345KV (DRESSER 345 KV DRE-SUGA)
N COULTERVILLE 138/230 XFMR FLO W FRANKFORT-E MT VERNON 345,LAC N T3_138 KV_32291322:Prairie State-W Mt. Vernon 345,N Coulterville 138/230 Xfmr flo W Frankfort-E Mt Vernon 345
OAKGREEN115 KV 11D,,
CRESCENT RIDGE - 7713 138 KV L/O HENNEPIN - EKS TAP3 - HKOK 1556 138 KV,,Crescent Ridge - 7713 138 kV l/o Hennepin - EKS Tap3 - HKOK 1556 138 kV
SMITHTON 138 KV SMITHTON-YUKON SLJ-YU,,YUKON 138KV - SMITHTON 138KV (SMITHTON 138 KV SMI-YUK2)
BED-BLA CONTINGENCY 28,BED-BLA contingency 45 MtStorm.U2,BED-BLA contingency 28
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL)
DUPSEAFD-LAURELDP 6736 B 69 KV,,DUPSEAFD 69KV - LAURELDP 69KV (DUPSEAFD 69 KV DUP-LAU)
EWAYNESB 138 KV EWAYNESB-RINGGOLD RWA1,,RINGGOLD 138KV - EWAYNESB 138KV (EWAYNESB 138 KV EWA-RIN)
MITCHELL 138 KV MITCHELL-SHEPLJCT MI-SLJ,,SHEPLJCT 138KV - MITCHELL 138KV (MITCHELL 138 KV MIT-SHE)
64_BELLW_138KV51172_1_LN,,5117 138KV - 64 BELLW 138KV (64 BELLW 138 KV 5117 2)
LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:ACTUAL,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL)
KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:ACTUAL,
EDWSFERY230 KV 203A,,EDWSFERY 230KV - PLEASNTV 230KV (EDWSFERY 230 KV 203A)
LORETTO 138 KV LORETTO-VIENNA 13780,LORETTO_138 KV_LOR-VIE:138/69.Vienna.AT1,VIENNA 138KV - LORETTO 138KV (LORETTO 138 KV LOR-VIE)
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR)
HANTHORN138 KV  HAN-THA,,HANTHORN 138KV - STERLING 138KV (HANTHORN 138 KV HAN-STE)
SALTSPRG_138KVSAL-MAS1_1_LN,,
BATESVILLE-HUBBLE138 FLO TANNERSCREEK-DEARBORN 345,,
OTTCRKPL230 KV  OTT-YOR,,OTTCRKPL 230KV - CONASTON 230KV (CONASTON 230 KV CNS-OTT)
FARMVIEW138 KV  FRM-MIL,,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL)
LEXINGTN 500 KV LEXINGTN TX3 XFORMER,,
CONASTON-PEACHBOT 5012 A 500 KV,,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA)
TURKEY HILL MASCOUTA 138 L/O ST FRANICOIS LUTESVIL 345,,Turkey Hill Mascouta 138 l/o St Franicois Lutesvil 345
BERYL   138 KV  BER-MTZ,BERYL_138 KV_BER-MTZ:ACTUAL,
BOXCAR-E MAIN ST 138 KV L/O PANA - AUSTIN 345 KV,,Maroa E - Goose Creek 345 kV l/o Pana-Austin 345 kV
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX)
CONASTON_230KVCNS-NOR1_1_LN,,CONASTON 230KV - NRTHWES2 230KV (CONASTON 230 KV CNS-NOR1)
122 BELV 138 KV 122 BELV-15623 15623 2,,11323   138 KV  11323 1
ABINGDON 138 KV ABINGDON-CLINCHRI,,CLINCHRI 138KV - ABINGDON 138KV (ABINGDON 138 KV ABI-CLI1)
HAMPSHIR_138KVHAM-RID_1_LN,,RIDGELEY 138KV - HAMPSHIR 138KV (HAMPSHIR 138 KV HAM-RID)
HARRISN 138 KV  HAR-OST,HARRISN_138 KV_HAR-OST:ACTUAL,
VIENNA 13710 SER DEV,,VIENNA 13710 SER DEV        A  138 KV
HAVILAND69 KV   HAV-NVA,,HAVILAND J            CB       138 KV
ELANCAST138 KV  ELA-PRI1,ELANCAST_138 KV_ELA-PRI1:L500.Conastone-PeachBottom.5012,ELANCAST 138KV - PRINCEPL 138KV (ELANCAST 138 KV ELA-PRI2)
JOSHUAF2_T1_765.1_XF,,GORDONSV 230KV - CASHCNDP 230KV (CASHCNDP 230 KV 2135A)
BREWERSTREET - STABLE 138 KV L/O FERMI UNIT2,,Pana 345/138 l/o Kincaid Unit 2
PIERCE 345/138 KV BK18 L/O TANNERS CREEK - MIAMI FORT 138 KV,,PIERCE 345KV - PIERC_DK 345KV (PIERC_DK 345 KV PIE-PIE2)
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:ACTUAL,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC)
EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS)
FREMNT-FREMONTC A 138 KV,,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1)
7 STATE 138 KV STATELIN-17ROXANA TIE,,Casey-Breed 345 l/o Wilton Center-Dumont 765
MIAMIFOR 345 KV MIAMIFOR 9 XFORMER,,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 9)
STATE LINE-ROXANA 138 KV L/O SHEFFIELD 345/138 KV,,
EMILIE-ROLL PE 130-39 A 138 KV,,EMILIE 138KV - ROLL PE 138KV (EMILIE 138 KV EMI-ROL)
MOROCCO-ALLENJUNCTION 345KV FLO LEMOYNE-MAJESTIC 345KV,,MONROE 345KV - LALLENDO 345KV (LALLENDO 345 KV LAL-MON)
CONEMAUG500 KV TX3,,CONEMAUG500 KV  TX3
SALTSPRG 138 KV SALTSPRG-MASURY,,SALTSPRG 138KV - MASURY 138KV (SALTSPRG 138 KV SAL-MAS1)
LONGWOOD 69 KV LONGWOOD-WYEMILLS 6707-3,,
MIAMIFOR 345 KV MIAMIFOR 10 XFORMER,,MIAMIFOR 138KV - WILLEY 138KV (MIAMIFOR 138 KV MIA-08W1)
08LAPLJT138 KV  08L-SAN1,,SANDERSO 138KV - 08LAPLJT 138KV (08LAPLJT 138 KV 08L-SAN1)
FINLEY  138 KV  FIN-MIL,FINLEY_138 KV_FIN-MIL:ACTUAL,
LICKRUN -ROCKWOOD LIC-ROC   A  115 KV,LICKRUN_115 KV_LIC-ROC:L115.Rockwood-Somerset,LICKRUN 115KV - ROCKWOOD 115KV (LICKRUN 115 KV LIC-ROC)
TANNERS CREEK - MIAMI FORT 345 KV L/O MARYSVILLE - SORENSON 765 KV,,
BEATTY  138 KV  BEA-ZUB1,BEATTY_138 KV_BEA-BOL:L345.Beatty-Cole,BEATTY 138KV - ZUBER 138KV (BEATTY 138 KV BEA-ZUB1)
HOWARD2-MELMORE B 138 KV,HOWARD2_138 KV_HOW-MEL1:L138.Melmore-ChatField,MELMORE 138KV - HOWARD2 138KV (HOWARD2 138 KV HOW-MEL1)
SPRUCE  138 KV  SPR-04S3,SPRUCE_138 KV_SPR-04S3:ACTUAL,SPRUCE 138KV - SANBORN 138KV (SPRUCE 138 KV SPR-04S3)
LAKVEW 138 KV LAKVEW-OTTAWATE,LAKVEW_138 KV_LAK-GRE1:ACTUAL,OTTAWATE 138KV - LAKVEW 138KV (LAKVEW 138 KV LAK-OTT1)
YORKANA B43 CB  230 KV,,
ELIMA   138 KV  ELI-NWL1,,ELIMA 138KV - NWLIMA 138KV (ELIMA 138 KV ELI-NWL1)
GEORGEWA 138 KV GEORGEWA-KAMMER2,,KAMMER2 138KV - GEORGEWA 138KV (GEORGEWA 138 KV GEO-KAM)
SAKRON  230 KV  7,SAKRON_230 KV_7:L500.Conastone-PeachBottom.5012,NOTTINGH230 KV  2-3
NELSON 345/138 TR82 L/O NELSON-ELECTRIC JCT 345,,Cherry Valley-Silver Lake 345 l/o Nelson-Electric Jct 345
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL)
CRANBERY138 KV  CRA-HOY,,CRANBERY-HOYTDAL2 CRA-HOY   B  138 KV
YUKON 500 KV YUKON TRAN 2 XFORMER,,YUKON    TRAN  2  XFORMER   H  500 KV
KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:L500.Carson-Clover.556,KERRDAM 115KV - KERRDP 115KV (KERRDAM 115 KV 193D)
DESOTO  345 KV  T2,DESOTO_345 KV_. 1:345/138.Desoto.T2,
KUCHAR  138 KV  KUC-SIL,SILVERGR_345 KV_SIL-ZIM1:ACTUAL,KUCHAR 138KV - SILVERLK 138KV (KUCHAR 138 KV KUC-SIL)
SHENANGO138 KV  SHE-SHA1,SHENANGO_138 KV_SHE-SHA1:ACTUAL,
HAZARD_T2_1613_XF,TRISTATE_345 KV_1:345/138.TriState.T2 (Sctnlz),
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
FRDRKSBG230 KV  2083A,,
50045005 59,,
NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,,MAPLNIPS 138KV - NEWCARLI 138KV (NEWCARLI 138 KV NEW-MAP2)
CUSHAW  115 KV  TX1,CUSHAW_115 KV_TX1:ACTUAL,
KEYSTONE B6 CB                 500 KV,,KEYSTONE B6 CB                 500 KV
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL)
LADYSMTH-ELMONT4 574A A 500 KV,,ELMONT4 500KV - LADYSMTH 500KV (LADYSMTH 500 KV 574A)
ERDMAN  115 KV  ERD-PHI5,ERDMAN_115 KV_ERD-PHI5:ACTUAL,
BEDINGTO_T2_500TRAN4_XF,,
PRUNTYTO P11     CB      138 KV,,PRUNTYTO 500KV - PRUNTYTO 138KV (PRUNTYTO 500 KV TRAN  1)
FRANCISCO - DUFF 345 KV FLO GIBSON -ABBROWN 345 KV,BLAIRSVE_115 KV_BLA-FLO:ACTUAL,Gibson-Francisco-345 kV l/o Gibson-Abbrown-345 kV
ELIMA   345 KV  2-P,,ELIMA 345KV - ELIMA 1KV (ELIMA 345 KV 2-P)
CABINRUN230 KV  CAB-YARR,CABOT_138 KV_CAB-LAW:L500.Cabot-Keystone.5002,YARDRIDG 230KV - CABINRUN 230KV (CABINRUN 230 KV CAB-YARR)
SWLIMA-WMOULTON             A  138 KV,,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1)
SHELOCTA_T1_230NO2_XF,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
BELLEAU - HUSTERA 138KV L/O LABADIE - MONTGOMERY 345KV,BELLEAU3_138 KV_LN 2656:Labadie - Montgomery 345kV,Enon-Montgomery 345 kV l/o Labadie-Mongomery 345 kV
SHENANGO_138KVSHE-CRO2_1_LN,,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO2)
911INDUS138 KV  911-NEWC,,NEWCASOE 138KV - 911INDUS 138KV (911INDUS 138 KV 911-NEWC)
51 MC CO345 KV  TR84_1,51 MC CO_345 KV_TR84_1:ACTUAL,
BATESVILLE - HUBBLE 138KV L/O EASTBEND - TERMINAL 345 KV,,CRESCNT 138KV - WEST_END 138KV (CRESCNT 138 KV 08C-WEN1)
AEP-DOM,,AEP-DOM contingency 33
PALISADES - ROOSEVELT 345KV L/O PALISADES - ARGENTA 2 345KV,,
CLAYTOR 138 KV  CLA-SCH1,CLAYTOR_138 KV_CLA-NCL1:ACTUAL,CLAYTOR 138KV - SCHRISTI 138KV (CLAYTOR 138 KV CLA-SCH1)
APSOUTH CONTINGENCY 66,,APSOUTH contingency 66
EBEND_345KVEBE-TER1_1_LN,,EBEND 345KV - TERMINAL 345KV (EBEND 345 KV EBE-TER1)
CLY 115 KV CLY-NEWBERRY 975-2,,CLY 115KV - NEWBERRY 115KV (CLY 115 KV CLY-NEW)
SHAWVILL115 KV  BNK 1A-S,,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S)
EDENSRID138 KV  EDE-IND1,EDELPHOS_69 KV_EDE-NDE:138/69.WestMoulton.T1,
TRENTON2 138 KV TRENTON2-HUTCHING TIE,,
IRONWOOD_230KVIRO-NLE_1_LN,MIDDLJCT_230 KV_MID-SLE:DBL:L230.Ironwood-NLebanon & SLebanon-Berks,
