market_index,market_record_id,market_constraint,dayzer_constraint,dayzer_confidence,dayzer_final_score,dayzer_ambiguity_flag,pano_constraint,pano_confidence,pano_final_score,pano_ambiguity_flag
69,10016741629,MT.VERNON-W.SALEM 138 KV L/O XENIA-NEWTON 345 KV,,low,0.45,True,Mt.Vernon-W.Salem 138 kV l/o Xenia-Newton 345 kV,high,0.95,False
70,10000826306,BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,medium,0.77,False,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRA),high,0.937821,True
71,10000826306,BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,medium,0.731538,True,BAGLEY  -GRACETON BAG-GRA   B  230 KV,high,0.988462,True
72,10018736423,ASHBURN-GOOSECRE 227D       B  230 KV,,low,0.388889,True,GOOSECRE 230KV - ASHBURN 230KV (ASHBURN 230 KV ASH-GOOS),medium,0.737987,True
73,10002494913,MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,medium,0.77,False,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE),high,0.937821,False
74,10016017601,ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,medium,0.767143,False,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1),high,0.860357,False
75,10004218945,FREMNT-FREMONTC A 138 KV,FREMNT_138 KV_FRE-FRE1:ACTUAL,low,0.6875,True,FREMNT 138KV - FREMONTC 138KV (FREMNT 138 KV FRE-FRE1),high,0.933422,False
76,10000570651,CUSHAW 115 KV CUSHAW -BALCFALL 28A,CUSHAW_115 KV_28A:ACTUAL,low,0.669048,True,BALCFALL 115KV - CUSHAW 115KV (CUSHAW 115 KV 28A),low,0.602381,True
77,10000565483,CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:500/230.Juniata.T2,medium,0.812338,True,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,0.94615,False
78,10002904827,BUTLER  69 KV   BUT-SHE,BUTLER_69 KV_BUT-SHE:ACTUAL,medium,0.767143,False,SHERMAN 69KV - BUTLER 69KV (BUTLER 69 KV BUT-SHE),high,0.875321,False
79,10015858897,NEWCARLI138 KV  NEW-PLE,NEWCARLI_138 KV_NEW-PLE:ACTUAL,low,0.596429,True,NEWCARLI138 KV  NEW-TRA1,low,0.500794,True
80,10000566138,LENOX 115 KV LENOX-NMESHOPP NML 1090,,low,0.456154,True,LENOX-NMESHOPP NML 1090     B  115 KV,medium,0.769697,True
81,10002484779,CEDARSUB230 KV CED-WILF,CEDARSUB_230 KV_CED-WILF:ACTUAL,low,0.571429,True,CEDARSUB230 KV  CED-ROSF,medium,0.776667,True
82,10000568987,GRABILL 138 KV GRABILL-ROBISONP,,low,0.388889,True,ROBISONP 138KV - GRABILL 138KV (GRABILL 138 KV GRA-ROB1),medium,0.775604,False
83,10000465753,MOUN UGI 230 KV MOUN UGI 3 XFORMER,MOUN UGI_230 KV_2:ACTUAL,low,0.596429,True,MOUN UGI230 KV  2,low,0.5125,True
84,10002484779,CEDARSUB230 KV CED-WILF,CEDARSUB_230 KV_CED-WILF:ACTUAL,low,0.561429,True,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF),medium,0.740714,True
85,10016479158,HOPECREE230 KV  HOP-SIL,HOPECREE_230 KV_HOP-SIL:ACTUAL,low,0.561429,True,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL),medium,0.737987,True
86,10016012721,MERIDIAN345 KV  MER-TWI1,MERIDIAN_345 KV_MER-TWI1:L765.Dumont-Sorenson,low,0.522222,True,TWINBRAN 345KV - MERIDIAN 345KV (MERIDIAN 345 KV MER-TWI1),medium,0.732937,True
87,10003951045,BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,low,0.561429,True,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),medium,0.740714,True
88,10000566797,BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:ACTUAL,low,0.621429,True,BUTL APS-KARNSCIT KC-BT     A  138 KV,low,0.567404,True
89,10004073341,LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:ACTUAL,medium,0.767143,False,LOGTOWN 138KV - NDELPHOS 138KV (LOGTOWN 138 KV LOG-NDEL),high,0.86369,True
90,10000567030,KRENDALE 138 KV KRENDALE-SHANORMA KND-BT,KRENDALE_138 KV_KRE-SHA:ACTUAL,low,0.547403,True,SHANORMA 138KV - KRENDALE 138KV (KRENDALE 138 KV KRE-SHA),medium,0.822222,False
91,10004212881,EWATERVT138 KV  EAS-WES,EWATERVT_138 KV_EAS-WES:ACTUAL,low,0.596429,True,,low,0.422273,True
92,10003951029,LACKAWAN-OXBOW ETP 2004 A 230 KV,LACKAWAN_230 KV_LAC-OXB:ACTUAL,low,0.612727,True,OXBOW 230KV - LACKAWAN 230KV (LACKAWAN 230 KV LAC-OXB),low,0.543756,True
93,10004183139,BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:500/230.WaughChapel.500-4,medium,0.767143,True,BAGLEY 230KV - RAPHAERD 230KV (BAGLEY 230 KV BAG-RAP5),high,0.860357,False
94,10002877927,REMNTNCT230 KV  299A,,low,0.415714,True,MARSHRUN 230KV - REMNTNCT 230KV (REMNTNCT 230 KV 299A),low,0.647619,True
95,10018408177,JORDAN - WFRANKFORT E 138KV L/O JORDAN - MASSAC 345KV,E W FKF3_138 KV_EWF-JORD:Jordan- Massac 345kV,low,0.55,True,JORD 138KV - E W FKF3 138KV (E W FKF3 138 KV EWF-JORD),low,0.619712,True
96,10000568636,COLLEGEC 138 KV COLLEGEC-COLLINSV,COLLEGEC_138 KV_COL-COL6:ACTUAL,low,0.633333,True,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6),high,0.890114,False
97,10000565540,HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,HARWOOD_230 KV_HAR-SUS2:ACTUAL,low,0.6975,True,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2),high,0.936154,True
98,10000565081,MAYWOOD 230 KV MAYWOOD-SADDLEBR G-2259,MAYWOOD_230 KV_MAY-SAD:ACTUAL,low,0.663333,True,SADDLEBR 230KV - MAYWOOD 230KV (MAYWOOD 230 KV MAY-SAD),low,0.581795,True
99,10002494913,MARDELA-VIENNA 6708-1 A 69 KV,MARDELA_69 KV_MAR-VIE:L138.Loretto-Vienna.13780,medium,0.736667,True,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE),high,0.937821,False
100,10017145374,KOKOMO - TIPTON W. 230KV L/O NUCOR - CAYUGA 345KV,,low,0.380769,True,KOKOMOPS 230KV - TIPTON W 230KV (KOKOMOPS 230 KV KOK-TIP),low,0.690774,True
101,10016776077,GREYSPT 115 KV  GRE-HARM,GREYSPT_115 KV_GRE-HARM:ACTUAL,medium,0.767143,False,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM),high,0.86369,False
102,10004293112,MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG,66 E FRN_345 KV_6608:L765.Dumont-Wilton Center.11215,low,0.583929,True,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,high,0.917368,False
103,10000565451,BRUNNERI 230 KV BRUNNERI-YORKANA 1055,BRUNNERI_230 KV_BRU-YOR:500/230.Conastone.500-4,low,0.65,True,BRUNNERI 230KV - YORKANA 230KV (BRUNNERI 230 KV BRU-YOR),high,0.892212,True
104,10004211984,PARADISE-BR TAP 161KV L/O WILSON BR UNIT 1,BR_TAP_161 KV_BRT-PAR:Wilson Unit 1,low,0.611538,True,PARADIS 161KV - BR_TAP 161KV (BR_TAP 161 KV BRT-PAR),low,0.691026,True
105,10016937822,RISING BONDVILL 138 KV L/O RISING SIDNEY 345 KV,RISING_138 KV_1642:Sidney-Rising 345 kV,low,0.640476,True,RISING 138KV - BONDVIL 138KV (RISING 138 KV 1642),low,0.630794,True
106,10016743781,MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV,WEEDMAN3_138 KV_1592 4:Clinton-Oreana-GooseCrk 345 kV,low,0.586154,True,Brokaw-N.Leroy 138 kv l/o  Clinton-Oreana-GooseCrk,low,0.601923,True
107,10015743081,TRENTON2138 KV  TRE-COL1,,low,0.446429,True,TRENTON2138 KV  TRE-HUT1,low,0.501515,True
108,10004181793,BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:500/230.WaughChapel.500-1,medium,0.767143,True,GRACETON 230KV - BAGLEY 230KV (BAGLEY 230 KV BAG-GRAC),high,0.86369,True
109,10002905981,EASTON-EMUNI 6772 A 69 KV,,low,0.483333,True,,low,0.456638,True
110,10017177169,16901   138 KV  16901 Z1,6606_138 KV_6606 Z1:ACTUAL,low,0.683333,True,7306    138 KV  7306 Z1,low,0.645,True
111,10016688435,BRAMBLET230 KV  BRA-EVRG,BRAMBLET_230 KV_BRA-EVRG:L230.Brambleton-PolandRoad.2183,low,0.522222,True,BRAMBLET 230KV - EVRGREEN 230KV (BRAMBLET 230 KV BRA-EVRG),medium,0.737987,True
112,10017402589,74 KEWAN B1Z5 DIS              138 KV,,low,0.388889,True,74 KEWAN B1Z5 DIS              138 KV,high,0.9875,False
113,10002923425,HANOVER 69 KV   HAN-PAR,HANOVER_69 KV_HAN-PAR:ACTUAL,medium,0.807143,False,HANOVER 69KV - PARRISPL 69KV (HANOVER 69 KV HAN-PAR),low,0.550833,True
114,10000565711,GRACETON 230 KV GRACETON-SAFEHARB 2303,,low,0.498889,True,GRACETON230 KV  GRA-SAF,medium,0.771416,True
115,10016242176,DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,medium,0.767143,False,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL),high,0.86369,False
116,10000466579,VIENNA 230 KV VIENNA AT20 TRANSFORMER,PINEYGRO_230 KV_AT20:230/138.Vienna.AT20,low,0.627778,True,VIENNA  230 KV  AT20,medium,0.774935,True
117,10016741640,TURKEY HILL-MASCOUTA 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,low,0.533824,True,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,high,0.95,False
118,10000566270,DICKERSH 230 KV DICKERSH-DICKERSO 23103,DICKERSH_230 KV_DIC-DIC3:ACTUAL,low,0.633333,True,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC3),high,0.890114,False
119,10000566797,BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:ACTUAL,low,0.597059,True,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),medium,0.847632,True
120,10000565004,CEDARGRO 230 KV CEDARGRO-JACK PS L-2238,CEDARGRO_230 KV_CED-JAC:ACTUAL,low,0.612727,True,CEDARGRO 230KV - JACK PS 230KV (CEDARGRO 230 KV CED-JAC),low,0.600714,True
121,10017908844,YORKANA B43 CB  230 KV,,low,0.42381,True,YORKANA 230KV - YORKANA 115KV (YORKANA 230 KV BANK 1),low,0.629365,True
122,10000565952,LINCOLN 115 KV LINCOLN-STRABAN 998,LINCOLN_115 KV_LIN-STR:ACTUAL,low,0.692045,True,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR),high,0.935128,True
123,10002864514,CARL PN-GARDNERS 1049 B 115 KV,CARL PN_115 KV_CAR-GAR:ACTUAL,medium,0.736667,True,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR),high,0.948615,False
124,10002871585,MEHOOPAN115 KV  MEH-NME2,MEHOOPAN_115 KV_MEH-NME2:ACTUAL,low,0.561429,True,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME2),medium,0.730714,True
125,10000566694,ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:ACTUAL,low,0.582857,True,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),medium,0.847949,False
126,10000565711,GRACETON 230 KV GRACETON-SAFEHARB 2303,,low,0.488889,True,GRACETON230 KV  GRA-SAF,medium,0.811916,True
127,10015848492,RAMAPO  138 KV  RAM-SMA,RAMAPO_138 KV_RAM-SMA:ACTUAL,medium,0.807143,False,RAMAPO 138KV - SMAWA 138KV (RAMAPO 138 KV RAM-SMA),low,0.551136,True
128,10016743794,CAYUGA-HILSDALEN 230 KV L/O DRESSER-SUGARCREEK 345 KV,,low,0.45,True,,low,0.476667,True
